"Accident No","Accident type","Site/area
","Country
","Details
","Web reference/link
","Year","Month","Day","Turbine Type","Manufacturer","Power of Turbine (KW)","PowerOfWindFarm (KW)","Offshore","During Construction","FULL-DATE","Outcome","Death","Fire","Injury","Mechanical","Structural Break","Transport Accident","Component","Cause","CauseCategory","Source Database","Source of the News","Title of the article"
"114","Wind","Scotland","UK","The latest casualty of wind farm roads that are unsuited for cranes or big aerial lifts is a 103 metre WT1000 truck mounted aerial lift which rolled as it approached the Gordonbush wind farm in Scotland.","http://www.vertikal.net/en/news/story/14828/","2012","5","11","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 11, 2012","Transportation accident","0","0","0","0","0","1","Crane","Human (transportation)","Human","Google","Vertikal.net","More wind farm rolls"
"115","Wind","UNKNOWN","Brazil","A severe accident happened two months ago in Brazil, involving a truck with a wind tower part, and a bus. ","http://ecotretas.blogspot.pt/2012/05/accident-with-bus-and-wind-tower-on.html","2012","3","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death & Transportation accident","1","0","0","0","0","1","Tower","Human (transportation)","Human","Google","Blogspot","Accident with bus and a wind tower on truck, causes 17 deaths"
"116","Wind","Kansas","USA","Five turbines were also destroyed at a nearby wind farm that’s still under construction. ","http://www.wind-watch.org/news/2012/05/21/crews-in-harper-county-cleaning-up-after-saturdays-tornado/","2012","5","19","GE 1600 KW","GE","1600","419000","","","May 19, 2012","Structural break","0","0","0","0","1","0","Tower","Nature (tornado)","Nature","Google","wind-watch.org","Crews in Harper County cleaning up after Saturday’s tornado"
"117","Wind","Iowa","USA","A wind turbine near Grafton caught fire Tuesday afternoon.","http://www.kimt.com/content/localnews/story/Wind-Turbine-Fire/0WxPEoYavUK6JddbmQl-3w.cspx","2012","5","22","Gamesa 2000 KW","Gamesa","2000","UNKNOWN","","","May 22, 2012","Fire & Structural break","0","1","0","0","1","0","Nacelle","Mechanical (fire)","Mechanical","Google","kimt tv","Wind Turbine Fire "
"118","Wind","Ireland","UK","The owners of a French-made wind turbine have been advised to keep people away from them after bits started falling off.","http://www.bbc.co.uk/news/uk-northern-ireland-18330468","2012","6","6","Scirocco 6 KW","Scirocco","6","UNKNOWN","","","June 6, 2012","Structural break","0","0","0","0","1","0","Blade","Mechanical","Mechanical","Google","BBC","Design snag causes wind turbine shutdown"
"119","Wind","El Bonillo","Spain","Vestas is currently carrying out investigations to find the root cause of the electric arc flash,"" she added. Once finalised, she said Vestas would inform its customers and take any necessary actions.","http://www.windpowermonthly.com/news/1135647/Fire-Vestas-turbine/","2012","6","9","Vestas 2000 kW","Vestas","2000","50000","","","June 9, 2012","Fire & Injury","0","1","1","0","0","0","Nacelle","Mechanical","Mechanical","Google","windpowermonthly.com","Fire in Vestas turbine"
"120","Wind","Illinois","USA","The 1.6-megawatt turbine is 5 to 6 miles east of Watseka on Iroquois County Road 2700 East, just off of U.S. 24.","http://www.paxtonrecord.net/news/business/agriculture/2012-06-18/wind-turbine-found-damaged-iroquois-county.html","2012","6","18","GE 1600 KW","GE","1600","UNKNOWN","","","June 18, 2012","Structural break","0","0","0","0","1","0","Blade","Mechanical","Mechanical","Google","windpowermonthly.com","Wind turbine found damaged in Iroquois County"
"121","Wind","Nepal","India","A 500 KW wind turbine generator installed near Panagudi suffered extensive damage in a fire accident on Sunday evening.","http://www.wind-watch.org/news/2012/06/25/fire-destroys-windmill/","2012","6","24","500 KW","UNKNOWN","500","UNKNOWN","","","June 24, 2012","Mechanical","0","0","0","1","0","0","Generator","Mechanical (fire)","Mechanical","Google","windpowermonthly.com","Fire destroys windmill"
"122","Wind","Vermont","USA","Evening a trailer carrying a 115,000 pound base column for a wind turbine detached from the truck hauling it and rolled off Interstate 91 Southbound in Irasburg near the Orleans exit.","http://www.wind-watch.org/news/2012/07/20/truck-carrying-wind-turbine-tips-on-i-91/","2012","7","19","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","July 19, 2012","Transportation accident","0","0","0","0","0","1","Tower","Human (transportation)","Human","Google","windpowermonthly.com","Truck carrying wind turbine tips on I-91  "
"123","Wind","Maine","USA","A trailer carrying a section of a wind turbine tower to the Bull Hill project site overturned Monday, dumping the tower section into a ditch alongside a private road off Route 9. ","http://bangordailynews.com/2012/07/30/news/hancock/truck-carrying-wind-turbine-tower-section-to-bull-hill-site-dumps-load-into-ditch/","2012","7","30","Vestas 1800 KW","Vestas","1800","34000","","","July 30, 2012","Transportation accident","0","0","0","0","0","1","Tower","Human (transportation)","Human","Google","windpowermonthly.com","Truck carrying wind turbine tower section to Bull Hill site dumps load into ditch"
"124","Wind","California","USA","A wildland fire that started at a wind turbine facility in Riverside County last month provides fuel for opponents concerned about fire risks posed by industrial-scale wind projects.","http://www.wind-watch.org/news/2012/08/01/cal-fire-wind-turbine-generator-caused-wildland-fire-that-charred-367-acres/","2012","6","17","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","June 17, 2012","Fire","0","1","0","0","0","0","Generator","Mechanical","Mechanical","Google","windpowermonthly.com","Cal Fire: wind turbine generator caused wildland fire that charred 367 acres  "
"125","Wind","Oregon","USA","Sherman County authorities have identified the victim of Saturday's wind turbine accident as Chadd B. Mitchell, a 34-year-old Goldendale, Wash., man. ","http://blog.oregonlive.com/breakingnews/2007/08/authorities_identify_victim_of.html","2007","7","22","Siemens 2300 KW","Siemens","2300","101200","","","July 22, 2007","Structural break","1","0","1","0","1","0","Tower","Nature","Nature","Google","Oregon Live","Authorities identify victim of wind turbine accident as 34-year-old Goldendale, Wash., man"
"126","Wind","Schleswig-Holstein","Germany","A crane operator has been killed while installing a Vestas turbine in northern Germany, the company has revealed.","http://www.windpowermonthly.com/news/1162667/Crane-operator-killed-installing-Vestas-turbine/?DCMP=ILC-SEARCH","2012","12","4","Vestas 2000 KW","Vestas","2000","44000","","","December 4, 2012","Structural break","1","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","windpowermonthly.com","Crane operator killed installing Vestas turbine"
"127","Wind","Illinois","USA","A spokeswoman for Invenergy Wind said that, in the event of high winds, the turbines are designed to come to rest with one blade pointing down and parallel to the base of the tower.","http://www.windaction.org/pictures/28682","2010","7","23","GE 1500 KW","GE","1500","100500","","","July 23, 2010","Mechanical","0","0","0","1","0","0","Blade","Nature (strong wind)","Nature","Google","windaction.org","Blade failure at Grand Ridge wind site "
"128","Wind","Mannhagen","Germany","A blade dropped onto the crane cabin during installation by the subcontractor.","http://www.rechargenews.com/energy/wind/article328668.ece","2012","12","3","Vestas 2000 KW","Vestas","2000","44000","","","December 3, 2012","Death","1","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","Rechargenews.com","Falling blade kills worker during Vestas installation in Germany"
"129","Wind","Montana","USA","Tim McCartney, a top tower removing small turbine","http://www.wind-works.org/articles/deaths02.html","1975","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Tower","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"130","Wind","UNKNOWN","UK","When a technician was descending down the ladder from the transition piece, 
the platform hatch dropped down and hit him on the head. The procedure is to 
be changed to leaving the hatch open when you leave the transition piece.","http://www.decc.gov.uk/assets/decc/what%20we%20do/a%20low%20carbon%20uk/1_20091120130307_e_@@_barrowannualreportjuly2007tojune2008final.pdf","2008","2","21","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","February 21, 2008","Injury","0","0","1","0","0","0","Transition piece","Human","Human","Google","decc.gov.uk","Offshore wind capital grant scheme"
"131","Wind","Bushland, Texas","USA","Pat Acker, 28, rebar cage for foundation","http://www.wind-works.org/articles/deaths02.html","1982","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Tower","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"132","Wind","Palm Springs, California","USA","Eric Wright on experimental VAWT","http://www.wind-works.org/articles/deaths02.html","1983","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"133","Wind","Altamont Pass, California","USA","J.A. Doucette, unloading towers from a truck","http://www.wind-works.org/articles/deaths02.html","1984","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Tower","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"134","Wind","Palm Springs, California","USA","Art Gomez, servicing Dynergy crane","http://www.wind-works.org/articles/deaths02.html","1984","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Crane","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"135","Wind","Tehachapi, California","USA","Thomas Swan, crane operator","http://www.wind-works.org/articles/deaths02.html","1991","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Crane","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"136","Wind","Palm Springs, California","USA","Richard Zawlocki, dscndng. tower","http://www.wind-works.org/articles/deaths02.html","1992","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Tower","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"137","Wind","Illinois","USA","Robert Skarski, erecting small wind turbine","http://www.wind-works.org/articles/deaths02.html","1993","UNKNOWN","UNKNOWN","2 KW","UNKNOWN","2","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"138","Wind","Minnesota","USA","Mark (Eddie) Ketterling, erecting tower","http://www.wind-works.org/articles/deaths02.html","1994","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Tower","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"139","Wind","UNKNOWN","UNKNOWN","Bernhard Saxen, 42, Kaiser-Wilhelm Koog test field","http://www.wind-works.org/articles/deaths02.html","1997","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"140","Wind","Mid Glamorgan, Wales","UK","Two blades were hit by lightning, one at Taff Ely in Mid Glamorgan.","http://webarchive.nationalarchives.gov.uk/+/http://www.dti.gov.uk/NewReview/nr36/html/wind.html","1997","12","15","UNKNOWN","UNKNOWN","UNKNOWN","9000","","","December 15, 1997","Structural break","0","0","0","0","1","0","Blade","Nature (lightening strike)","Nature","Google","webarchive.nationalarchives.gov.uk","Wind farms withstand winter storms"
"141","Wind","UNKNOWN","UNKNOWN","Ivan Sørensen, 'Vestas windsmith, near Lemvig, removing turbine","http://www.wind-works.org/articles/deaths02.html","1997","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"142","Wind","UNKNOWN","UNKNOWN","Jens Erik Madsen (DK), servicing controller","http://www.wind-works.org/articles/deaths02.html","1982","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"143","Wind","Iowa","USA","Ugene Stallhut, ground crew on Jacobs 10 kW","http://www.wind-works.org/articles/deaths02.html","1984","UNKNOWN","UNKNOWN","10 KW","UNKNOWN","10","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"144","Wind","Palm Springs, California","USA","John Donnelly, atop nacelle","http://www.wind-works.org/articles/deaths02.html","1989","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Nacelle","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"145","Wind","UNKNOWN","Netherlands","Dick Hozeman (NL), atop nacelle","http://www.wind-works.org/articles/deaths02.html","1990","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Nacelle","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"146","Wind","UNKNOWN","UNKNOWN","Leif Thomsen, & Kaj Vadstrup (DK), srvcng. rotor","http://www.wind-works.org/articles/deaths02.html","1990","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Rotor","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"147","Wind","North Dakota","USA","Employee #1 was struck in the head by pipes being lowered into a windmill tower. Employee #1 later died due to a blood clot in the lungs. ","http://www.osha.gov/pls/imis/establishment.inspection_detail?id=304208507","2003","5","13","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 13, 2003","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","Mechanical","Google","osha.gov","Inspection: 304208507 - Stemen Drilling"
"148","Wind","UNKNOWN","Germany","UNKNOWN","http://www.wind-works.org/articles/deaths02.html","2003","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"149","Wind","Holstein","Germany","Parachutist on Fehmarn, Schleswig-Holstein (D)","http://www.wind-works.org/articles/deaths02.html","2000","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Blade","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"150","Wind","UNKNOWN","China","While cleaning blades, unconfirmed","http://www.wind-works.org/articles/deaths02.html","1996","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","Blade","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"151","Wind","UNKNOWN","USA","Boat operator decapitated by small machine, unconfirmed","http://www.wind-works.org/articles/deaths02.html","1996","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","Google","wind-works.org","Deaths from Working with Wind Energy"
"152","Wind","Muros","Spain","A failure in one of the wind turbines owned by the Iberdrola company in the Pedregal Mountains, Esteiro (Muros), resulted in a forest fire that razed a hectare of the mountain.","http://www.wind-watch.org/news/2006/10/17/accident-a-failure-in-a-wind-turbine-caused-a-forest-fire-in-muros/","2006","9","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Fire","0","1","0","1","0","0","Blade","UNKNOWN","UNKNOWN","Google","wind-watch.org","Accident: A failure in a wind turbine caused a forest fire in Muros  "
"153","Wind","Nebraska","USA","An explosion and fire at a wind farm under construction in northeast Nebraska has injured three workers. One man, who was atop a tower when a turbine exploded, received first- and second-degree burns in the fire Tuesday morning. Two others, who were nearby, were treated for smoke inhalation and released.","http://journalstar.com/news/local/workers-injured-in-wind-farm-fire/article_0fc09e22-16c1-584b-9a0a-e8af35843856.html","2008","11","25","UNKNOWN","Vestas","UNKNOWN","80000","","","November 25, 2008","Fire & Injury & Structural break","0","1","1","0","1","1","UNKNOWN","UNKNOWN","UNKNOWN","Google","journalstar.com","3 workers injured in wind farm fire"
"154","Wind","Ohio","USA","A wind turbine came crashing down near Western Reserve High School in Berlin Center on Sunday","http://www.wind-watch.org/news/2011/04/11/wind-turbine-crashes-to-ground/","2011","4","11","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","April 11, 2011","Structural break","0","0","0","1","1","0","Blade","Structural (fatigued bolts)","UNKNOWN","Google","wytv.com","Wind turbine crashes to ground  "
"155","Wind","Texas","USA","A worker with GE Wind Services was involved in an industrial accident on Tuesday, May 15, 2012 at the Trent-Mesa Wind Farm, located east of Sweetwater and off of Adrian Road at County Road 131.","http://www.wind-watch.org/news/2012/05/18/industrial-accident-on-wind-farm/","2012","5","15","Enron 1500 KW","Enron","1500","150000","","","May 15, 2012","Mechanical","0","0","1","1","0","0","Tower","Mechanical (electrical discharge)","Mechanical","Google","Sweetwater Reporter","Industrial accident on wind farm "
"156","Wind","Cornwall, England","UK","Locally, Delabole was struck by lightning, damaging some of its rotors in its early days and a wind-farm at St. Clether (near Launceston) of 26 turbines commissioned in 1993 was closed down in Spring 2000 due to metal fatigue in its towers.","http://www.bradworthy.com/user/nonIEbrowser/200103/local%20wind%20farm.html","1993","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Injury","0","0","1","0","1","0","Rotor","Nature (lightening strike)","Nature","Google","bradworthy.com","Wind-farm correspondence"
"157","Wind","California","USA","Plaintiff worked for Fayette as a turbine technician.She was injured on the job when she got her hand caught between the yaw pinion and the yaw gear of the wind turbine. At the time of the accident she was in the process of attempting to lock off a wind turbine so it could be repaired. She climbed the tower of the wind turbine and entered the work cage; seeing the yaw motor pivoting towards her and fearing it would strike her legs, she swung her legs out of the way and pushed off with her right hand. In so doing, her hand was caught in the yaw gear. Previously the turbine had been sold to the Sheinbergs by Fayette, who had manufactured it.","http://law.justia.com/cases/california/caapp4th/4/1567.html","1992","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","UNKNOWN","Injury","0","0","1","0","0","0","Gear","Mechanical","Mechanical","Google","law.justia.com","Behrens v. Fayette Manufacturing Co. (1992) 4 Cal. App. 4th 1567 [7 Cal. Rptr. 2d 264]"
"158","Wind","Pennsylvania","USA","In the instant lawsuit, plaintiff seeks damages for injuries suffered in a December 19, 2006 incident that occurred while plaintiff was employed by White Construction as a quality control manager at the Allegheny Ridge Wind Farm construction site. Defendant Gamesa Energy USA, LLC contracted with White Construction to unload, assemble, install and test wind turbines at the Allegheny site. See Resp. to Pl.’s Mot. to Compel at 1 (Doc. No. 30). Plaintiff asserts that the incident involved a “hazardous wind turbine electric hoist” designed, sold, manufactured, delivered and installed by defendants.","http://docs.justia.com/cases/federal/district-courts/pennsylvania/paedce/2:2008cv04536/283713/37/0.pdf?1270103243","2006","12","19","UNKNOWN","Gamesa","UNKNOWN","UNKNOWN","","","December 19, 2006","Injury","0","0","1","0","0","0","Electric hoist","Mechanical (hazardous wind turbine electric hoist)","Mechanical","Google","law.justia.com","DAVIS v. GAMESA TECHNOLOGY CORPORATION, INC. et al - Document 37"
"159","Wind","New York City","USA","Aaron McCoy (“McCoy”), an Outland employee, suffered while performing maintenance services on a wind turbine. On October 20, 2010, McCoy and several other Outland technicians were working uptower in different turbines at Cayuga Ridge. The technicians were using the modified LOTO procedure rather than the standard LOTO procedure. When one technician radioed an Iberdrola technician to re-energize a wind turbine, the Iberdrola technician mistakenly powered up the turbine that McCoy was servicing. This resulted in an electrical explosion that caused McCoy’s injuries.","http://docs.justia.com/cases/federal/district-courts/illinois/ilndce/1:2011cv00592/251880/198/0.pdf?1327664259","2010","10","20","Gamesa","Gamesa","UNKNOWN","UNKNOWN","","","October 20, 2010","Injury","0","0","1","0","0","0","UNKNOWN","Human (wrong action)","Human","Google","law.justia.com","McCoy v. Gamesa Technology Corp. et al - Document 198"
"160","Wind","Texas","USA","Joshua David Poynor lost portions of two fingers when a propeller blade on a wind turbine he was servicing smashed his hand. He sued Mitsubishi Power Systems, alleging that the company’s negligence caused the injury. On August 12, 2009, Poynor was ordered by his supervisor to assist a Mitsubishi technician with rotating a turbine’s blades. The blades had to be adjusted before Lone Star could safely clean the turbine. At some point – the exact moment is unclear – Poynor’s hand was crushed by the machinery. He lost parts of two of his fingers.","http://docs.justia.com/cases/federal/appellate-courts/ca5/11-10981/11-10981-2012-06-06.pdf","2009","7","12","Mitsubishi","Mitsubishi","UNKNOWN","UNKNOWN","","","July 12, 2009","Injury","0","0","1","0","0","0","Blade","Human (negligance)","Human","Google","law.justia.com","Joshua Poynor v. Mitsubishi Power Sys Amer Inc."
"161","Wind","Texas","USA","Plaintiffs claim that their injuries resulted from an accident involving a tractor-trailer-rig driven by Defendant Gregory Bonhomme and owned and operated by Defendant Clarke Road Transport, Inc. According to Plaintiffs, Bonhomme operated the tractor-trailer-rig with an oversized loaded wind turbine on it through a work or construction zone at an unsafe speed and manner. Plaintiffs claim that it improperly loaded the oversized turbine onto the trailer shortly before the accident and that the tractor-trailer-rig and oversized load were not properly inspected before the tractor-trailer-rig and oversized load departed Defendant Molded Fiber Glass Companies, L.P.’s Gainesville, Texas plant, or at any point before the wreck in question.","http://docs.justia.com/cases/federal/district-courts/texas/txedce/4:2011cv00586/132242/54/0.pdf?1352306360","2010","7","24","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","July 24, 2010","Injury & Transportation accident","0","0","1","0","0","1","Tower","Human (negligance)","Human","Google","law.justia.com","Varkey et al v. Clark Road Transport, Inc. et al - Document 54"
"162","Wind","Arkansas","USA","On November 21, 2004, during transit of the nacelle cargo from Texas to Illinois, Bay Machinery’s vehicle was allegedly involved in a motor vehicle accident in Crossroads, Arkansas, causing the nacelle cargo to sustain damage.","http://docs.justia.com/cases/federal/district-courts/arkansas/aredce/4:2009cv00246/78000/13/0.pdf?1270167740","2004","11","21","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","November 21, 2004","Transportation accident","0","0","0","0","1","1","Nacelle","Human (negligance)","Human","Google","law.justia.com","Codan Forsikring A/S v. ATS Logistics Services Inc - Justia"
"163","Wind","Houston","USA","This suit arises from a fire that damaged a portion of a wind turbine generator known as a nacelle. The generator, including the nacelle, was manufactured in India and shipped to the Port of Houston for inland shipment to Minnesota. The fire occurred after the nacelle had been unloaded from the ship and was undergoing preparations for transportation on a truck trailer. Those preparations included welding necessary to secure the nacelle to the trailer. ","http://www.thecabadvantage.com/index.php?option=com_content&view=article&id=359:-suzlon-wind-energy-v-shippers-stevedoring-company&catid=40:volume-11-edition-3&Itemid=25","2008","3","7","UNKNOWN","Suzlon","UNKNOWN","UNKNOWN","","","March 7, 2008","Fire & Structural break","0","1","0","0","1","0","Nacelle","Human (negligance)","Human","Google","thecabadvantage.com","Suzlon Wind Energy v. Shipper’s Stevedoring Company"
"164","Wind","Cumbria","UK","One of the turbines on Kirby Moor (Cumbria) failed in impressive fashion subsequent to a lightning strike; the blades disintegrated hurling wreckage across the moor. Dilapidated remains of the glass fibre coating are all that remained on the blade tips. The nose cone was also blown off by the lightning strike.","http://ssgb.150m.com/wind_danger.htm","UNKNOWN","UNKNOWN","UNKNOWN","Vestas 400 KW","Vestas","400","4800","","","UNKNOWN","Fire & Structural break","0","1","0","0","1","0","Blade","Nature (lightening strike)","Nature","Google","ssgb.150m.com","Wind turbines are without doubt very dangerous contraptions"
"165","Wind","UNKNOWN","Greece","In 1994 a number of longitudinal cracks were found on the blades of several of the 34 WindMaster 300 kW turbines in Greece","http://www.windpowermonthly.com/news/958696/","1994","UNKNOWN","UNKNOWN","Windmaster 300 KW","Windmaster","300","10200","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Nature","Nature","Google","windpowermonthly.com","Protection sought in liquidation after blade failures in greece"
"166","Wind","Sheffield","UK","A blade cracked away from a 190ft turbine on a Sheffield University research park. Police evacuated the area while engineers allowed the 30ft blade to fall to the ground. The turbine was made by WES, a Dutch company. Earlier that month, the British government had published its renewable energy strategy - with plans to build around 4,000 new onshore wind turbines.","http://www.windbyte.co.uk/safety.html","2008","6","UNKNOWN","WES","WES","UNKNOWN","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Nature","Nature","Google","windbyte.co.uk","Spinning to destruction"
"167","Wind","Eastern Hesse","Germany","There was a spectacular, unexplained turbine collapse at a wind park in Kirtorf, Eastern Hesse, Germany, on Sunday, 19 June 2011.","http://www.windbyte.co.uk/safety.html","2011","6","19","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","June 19, 2011","Structural break","0","0","0","0","1","0","Tower","UNKNOWN","UNKNOWN","Google","windbyte.co.uk","German turbine collapse"
"168","Wind","Sacramento","USA","The agricultural pilot killed while seeding a field in the Delta likely never saw the steel tower that caused the fatal crash.","http://www.windbyte.co.uk/safety.html","2011","1","10","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","January 10, 2011","Death","1","0","0","0","1","0","Tower","Human","Human","Google","windbyte.co.uk","Pilot killed in wind tower crash"
"169","Wind","Pennsylvania","USA","Insufficient and irregular distribution of glue” caused large pieces to break off seven turbine blades at the Allegheny Ridge Wind Farm near Lilly, Cambria County.","http://www.windbyte.co.uk/safety.html","2007","3","UNKNOWN","Gamesa","Gamesa","UNKNOWN","UNKNOWN","","","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Mechanical (insufficient glue on blades)","Mechanical","Google","windbyte.co.uk","Bad gluing blamed for mishaps at wind farm"
"170","Wind","Vermont","USA","Turbine #10 at the Searsburg wind energy facility in Searsburg, Vermont experienced a catastrophic failure when one of the blades came in contact with the turbine's tower causing it to buckle during high winds.","http://www.windbyte.co.uk/safety.html","2008","9","15","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","September 15, 2008","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windbyte.co.uk","Catastrophic turbine failure raises doubts about safety"
"171","Wind","Road between Oudkarspel and Dirkshorn","Netherlands","A 23 metre turbine blade, weighing some 3 tonnes, broke off and landed on the N245 road between Oudkarspel and Dirkshorn, Holland.","http://www.windbyte.co.uk/safety.html","2008","5","14","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","","","May 14, 2008","Structural break & Transportation accident ","0","0","0","0","1","1","Blade","UNKNOWN","UNKNOWN","Google","windbyte.co.uk","Turbine blade lands on main road (holland)"
"172","Wind","Scotland","UK","Three Scottish windfarms were ""switched off"" yesterday after a massive turbine collapsed in high winds.","http://www.windaction.org/news/12616","2007","11","10","Vestas 660 KW","Vestas","660","UNKNOWN","","","November 10, 2007","Structural break","0","0","0","1","1","0","Tower","Nature (strong wind)","Nature","Google","The Press and Journal ","Alert after turbine collapses in high winds"
